output_dir/epoch-41.humanAP: 0.9145, MR: 0.4326, JI: 0.8354, Recall: 0.9594
output_dir/epoch-42.humanAP: 0.9167, MR: 0.4296, JI: 0.8377, Recall: 0.9610
output_dir/epoch-43.humanAP: 0.9165, MR: 0.4282, JI: 0.8384, Recall: 0.9611
output_dir/epoch-44.humanAP: 0.9177, MR: 0.4267, JI: 0.8408, Recall: 0.9606
output_dir/epoch-45.humanAP: 0.9174, MR: 0.4217, JI: 0.8413, Recall: 0.9601
output_dir/epoch-46.humanAP: 0.9188, MR: 0.4203, JI: 0.8430, Recall: 0.9610
output_dir/epoch-47.humanAP: 0.9185, MR: 0.4284, JI: 0.8413, Recall: 0.9611
output_dir/epoch-48.humanAP: 0.9189, MR: 0.4210, JI: 0.8415, Recall: 0.9612
output_dir/epoch-49.humanAP: 0.9198, MR: 0.4193, JI: 0.8419, Recall: 0.9623
AMself_2_3/epoch-40.humanAP: 0.9114, MR: 0.4439, JI: 0.8331, Recall: 0.9581
AMself_2_3/epoch-41.humanAP: 0.9130, MR: 0.4359, JI: 0.8346, Recall: 0.9588
AMself_2_3/epoch-42.humanAP: 0.9151, MR: 0.4333, JI: 0.8372, Recall: 0.9602
AMself_2_3/epoch-43.humanAP: 0.9162, MR: 0.4320, JI: 0.8400, Recall: 0.9605
AMself_2_3/epoch-44.humanAP: 0.9180, MR: 0.4337, JI: 0.8404, Recall: 0.9628
AMself_2_3/epoch-45.humanAP: 0.9170, MR: 0.4287, JI: 0.8410, Recall: 0.9600
AMself_2_3/epoch-46.humanAP: 0.9170, MR: 0.4301, JI: 0.8407, Recall: 0.9607
AMself_2_3/epoch-47.humanAP: 0.9189, MR: 0.4272, JI: 0.8415, Recall: 0.9615
AMself_2_3/epoch-48.humanAP: 0.9192, MR: 0.4238, JI: 0.8423, Recall: 0.9621
AMself_2_3/epoch-49.humanAP: 0.9188, MR: 0.4293, JI: 0.8427, Recall: 0.9622
AMself_2_3/epoch-50.humanAP: 0.9199, MR: 0.4232, JI: 0.8442, Recall: 0.9619
AMself_2_3/epoch-51.humanAP: 0.9198, MR: 0.4231, JI: 0.8439, Recall: 0.9620
AMself_2_3/epoch-52.humanAP: 0.9204, MR: 0.4193, JI: 0.8423, Recall: 0.9628
AMself_2_3/epoch-53.humanAP: 0.9211, MR: 0.4218, JI: 0.8438, Recall: 0.9630
AMself_2_3/epoch-54.humanAP: 0.9188, MR: 0.4277, JI: 0.8440, Recall: 0.9604
AMself_2_3/epoch-55.humanAP: 0.9212, MR: 0.4228, JI: 0.8443, Recall: 0.9624
AMself_2_3/epoch-56.humanAP: 0.9203, MR: 0.4309, JI: 0.8440, Recall: 0.9626
AMself_2_3/epoch-57.humanAP: 0.9217, MR: 0.4241, JI: 0.8441, Recall: 0.9631
AMself_2_3/epoch-58.humanAP: 0.9209, MR: 0.4224, JI: 0.8432, Recall: 0.9629
AMself_2_3/epoch-59.humanAP: 0.9208, MR: 0.4251, JI: 0.8449, Recall: 0.9628
AMself_4_1/epoch-61.humanAP: 0.9229, MR: 0.4159, JI: 0.8463, Recall: 0.9614
AMself_4_1/epoch-62.humanAP: 0.9225, MR: 0.4139, JI: 0.8472, Recall: 0.9617
AMself_4_1/epoch-63.humanAP: 0.9240, MR: 0.4120, JI: 0.8473, Recall: 0.9622
AMself_4_1/epoch-64.humanAP: 0.9227, MR: 0.4168, JI: 0.8468, Recall: 0.9611
AMself_4_1/epoch-65.humanAP: 0.9233, MR: 0.4196, JI: 0.8476, Recall: 0.9615
AMself_4_1/epoch-66.humanAP: 0.9236, MR: 0.4127, JI: 0.8487, Recall: 0.9615
AMself_4_1/epoch-67.humanAP: 0.9227, MR: 0.4137, JI: 0.8475, Recall: 0.9615
AMself_4_1/epoch-68.humanAP: 0.9230, MR: 0.4142, JI: 0.8492, Recall: 0.9611
AMself_4_1/epoch-69.humanAP: 0.9232, MR: 0.4120, JI: 0.8469, Recall: 0.9609
R_Baseline/epoch-50.humanAP: 0.9088, MR: 0.4482, JI: 0.8300, Recall: 0.9593
R_Baseline/epoch-51.humanAP: 0.9102, MR: 0.4485, JI: 0.8300, Recall: 0.9603
R_Baseline/epoch-52.humanAP: 0.9118, MR: 0.4469, JI: 0.8322, Recall: 0.9623
R_Baseline/epoch-53.humanAP: 0.9115, MR: 0.4406, JI: 0.8317, Recall: 0.9606
R_Baseline/epoch-54.humanAP: 0.9117, MR: 0.4405, JI: 0.8316, Recall: 0.9613
R_Baseline/epoch-55.humanAP: 0.9119, MR: 0.4410, JI: 0.8334, Recall: 0.9613
R_Baseline/epoch-56.humanAP: 0.9112, MR: 0.4478, JI: 0.8328, Recall: 0.9600
R_Baseline/epoch-57.humanAP: 0.9121, MR: 0.4391, JI: 0.8333, Recall: 0.9611
R_Baseline/epoch-58.humanAP: 0.9125, MR: 0.4383, JI: 0.8345, Recall: 0.9608
R_Baseline/epoch-59.humanAP: 0.9122, MR: 0.4384, JI: 0.8328, Recall: 0.9607
