AP: 0.9215, MR: 0.4132, JI: 0.8396, Recall: 0.9636
AMself_output/eval_dump/APS_baseline/epoch-41.humanAP: 0.9136, MR: 0.4245, JI: 0.8381, Recall: 0.9574
AMself_output/eval_dump/APS_baseline/epoch-42.humanAP: 0.9155, MR: 0.4186, JI: 0.8396, Recall: 0.9590
AMself_output/eval_dump/APS_baseline/epoch-43.humanAP: 0.9173, MR: 0.4232, JI: 0.8397, Recall: 0.9606
AMself_output/eval_dump/APS_baseline/epoch-44.humanAP: 0.9178, MR: 0.4223, JI: 0.8411, Recall: 0.9597
AMself_output/eval_dump/APS_baseline/epoch-45.humanAP: 0.9169, MR: 0.4222, JI: 0.8410, Recall: 0.9588
AMself_output/eval_dump/APS_baseline/epoch-46.humanAP: 0.9185, MR: 0.4172, JI: 0.8432, Recall: 0.9611
AMself_output/eval_dump/APS_baseline/epoch-47.humanAP: 0.9201, MR: 0.4174, JI: 0.8448, Recall: 0.9616
AMself_output/eval_dump/APS_baseline/epoch-48.humanAP: 0.9205, MR: 0.4186, JI: 0.8424, Recall: 0.9619
AMself_output/eval_dump/APS_baseline/epoch-49.humanAP: 0.9200, MR: 0.4152, JI: 0.8433, Recall: 0.9619
AMself_output/eval_dump/APS_baseline/epoch-50.humanAP: 0.9201, MR: 0.4173, JI: 0.8446, Recall: 0.9614
AMself_output/eval_dump/APS_baseline/epoch-51.humanAP: 0.9208, MR: 0.4173, JI: 0.8432, Recall: 0.9614
AMself_output/eval_dump/APS_baseline/epoch-52.humanAP: 0.9192, MR: 0.4207, JI: 0.8444, Recall: 0.9601
AMself_output/eval_dump/APS_baseline/epoch-53.humanAP: 0.9201, MR: 0.4108, JI: 0.8455, Recall: 0.9603
AMself_output/eval_dump/APS_baseline/epoch-54.humanAP: 0.9206, MR: 0.4184, JI: 0.8464, Recall: 0.9602
AMself_output/eval_dump/APS_baseline/epoch-55.humanAP: 0.9214, MR: 0.4187, JI: 0.8461, Recall: 0.9613
AMself_output/eval_dump/APS_baseline/epoch-56.humanAP: 0.9213, MR: 0.4131, JI: 0.8453, Recall: 0.9621
AMself_output/eval_dump/APS_baseline/epoch-57.humanAP: 0.9212, MR: 0.4112, JI: 0.8458, Recall: 0.9608
AMself_output/eval_dump/APS_baseline/epoch-58.humanAP: 0.9200, MR: 0.4104, JI: 0.8456, Recall: 0.9605
AMself_output/eval_dump/APS_baseline/epoch-59.humanAP: 0.9208, MR: 0.4130, JI: 0.8458, Recall: 0.9606
AMself_output/eval_dump/AMself_2_2/epoch-40.humanAP: 0.9093, MR: 0.4493, JI: 0.8298, Recall: 0.9551
AMself_output/eval_dump/AMself_2_2/epoch-41.humanAP: 0.9136, MR: 0.4335, JI: 0.8337, Recall: 0.9587
AMself_output/eval_dump/AMself_2_2/epoch-42.humanAP: 0.9140, MR: 0.4274, JI: 0.8369, Recall: 0.9578
AMself_output/eval_dump/AMself_2_2/epoch-43.humanAP: 0.9163, MR: 0.4276, JI: 0.8389, Recall: 0.9592
AMself_output/eval_dump/AMself_2_2/epoch-44.humanAP: 0.9156, MR: 0.4318, JI: 0.8404, Recall: 0.9576
AMself_output/eval_dump/AMself_2_2/epoch-45.humanAP: 0.9161, MR: 0.4348, JI: 0.8389, Recall: 0.9590
AMself_output/eval_dump/AMself_2_2/epoch-46.humanAP: 0.9169, MR: 0.4256, JI: 0.8373, Recall: 0.9602
AMself_output/eval_dump/AMself_2_2/epoch-47.humanAP: 0.9173, MR: 0.4266, JI: 0.8393, Recall: 0.9598
AMself_output/eval_dump/AMself_2_2/epoch-48.humanAP: 0.9184, MR: 0.4250, JI: 0.8414, Recall: 0.9603
AMself_output/eval_dump/AMself_2_2/epoch-49.humanAP: 0.9192, MR: 0.4156, JI: 0.8397, Recall: 0.9621
AMself_output/eval_dump/AMself_2_2/epoch-50.humanAP: 0.9198, MR: 0.4250, JI: 0.8416, Recall: 0.9618
AMself_output/eval_dump/AMself_2_2/epoch-51.humanAP: 0.9200, MR: 0.4238, JI: 0.8419, Recall: 0.9614
AMself_output/eval_dump/AMself_2_2/epoch-52.humanAP: 0.9202, MR: 0.4167, JI: 0.8408, Recall: 0.9619
AMself_output/eval_dump/AMself_2_2/epoch-53.humanAP: 0.9197, MR: 0.4140, JI: 0.8436, Recall: 0.9607 *
AMself_output/eval_dump/AMself_2_2/epoch-54.humanAP: 0.9197, MR: 0.4215, JI: 0.8432, Recall: 0.9605
AMself_output/eval_dump/AMself_2_2/epoch-55.humanAP: 0.9202, MR: 0.4213, JI: 0.8430, Recall: 0.9604
AMself_output/eval_dump/AMself_2_2/epoch-56.humanAP: 0.9195, MR: 0.4230, JI: 0.8424, Recall: 0.9612
AMself_output/eval_dump/AMself_2_2/epoch-57.humanAP: 0.9209, MR: 0.4254, JI: 0.8428, Recall: 0.9616
AMself_output/eval_dump/AMself_2_2/epoch-58.humanAP: 0.9209, MR: 0.4203, JI: 0.8423, Recall: 0.9625
AMself_output/eval_dump/AMself_2_2/epoch-59.humanAP: 0.9206, MR: 0.4252, JI: 0.8420, Recall: 0.9613
AMself_output/eval_dump/AMself_2_3/epoch-40.humanAP: 0.9114, MR: 0.4439, JI: 0.8331, Recall: 0.9581
AMself_output/eval_dump/AMself_2_3/epoch-41.humanAP: 0.9130, MR: 0.4359, JI: 0.8346, Recall: 0.9588
AMself_output/eval_dump/AMself_2_3/epoch-42.humanAP: 0.9151, MR: 0.4333, JI: 0.8372, Recall: 0.9602
AMself_output/eval_dump/AMself_2_3/epoch-43.humanAP: 0.9162, MR: 0.4320, JI: 0.8400, Recall: 0.9605
AMself_output/eval_dump/AMself_2_3/epoch-44.humanAP: 0.9180, MR: 0.4337, JI: 0.8404, Recall: 0.9628
AMself_output/eval_dump/AMself_2_3/epoch-45.humanAP: 0.9170, MR: 0.4287, JI: 0.8410, Recall: 0.9600
AMself_output/eval_dump/AMself_2_3/epoch-46.humanAP: 0.9170, MR: 0.4301, JI: 0.8407, Recall: 0.9607
AMself_output/eval_dump/AMself_2_3/epoch-47.humanAP: 0.9189, MR: 0.4272, JI: 0.8415, Recall:   0.9615
AMself_output/eval_dump/AMself_2_3/epoch-48.humanAP: 0.9192, MR: 0.4238, JI: 0.8423, Recall: 0.9621
AMself_output/eval_dump/AMself_2_3/epoch-49.humanAP: 0.9188, MR: 0.4293, JI: 0.8427, Recall: 0.9622
AMself_output/eval_dump/AMself_2_3/epoch-50.humanAP: 0.9199, MR: 0.4232, JI: 0.8442, Recall: 0.9619
AMself_output/eval_dump/AMself_2_3/epoch-51.humanAP: 0.9198, MR: 0.4231, JI: 0.8439, Recall: 0.9620
AMself_output/eval_dump/AMself_2_3/epoch-52.humanAP: 0.9204, MR: 0.4193, JI: 0.8423, Recall: 0.9628
AMself_output/eval_dump/AMself_2_3/epoch-53.humanAP: 0.9211, MR: 0.4218, JI: 0.8438, Recall: 0.9630  *
AMself_output/eval_dump/AMself_2_3/epoch-54.humanAP: 0.9188, MR: 0.4277, JI: 0.8440, Recall: 0.9604
AMself_output/eval_dump/AMself_2_3/epoch-55.humanAP: 0.9212, MR: 0.4228, JI: 0.8443, Recall: 0.9624
AMself_output/eval_dump/AMself_2_3/epoch-56.humanAP: 0.9203, MR: 0.4309, JI: 0.8440, Recall: 0.9626
AMself_output/eval_dump/AMself_2_3/epoch-57.humanAP: 0.9217, MR: 0.4241, JI: 0.8441, Recall: 0.9631  *
AMself_output/eval_dump/AMself_2_3/epoch-58.humanAP: 0.9209, MR: 0.4224, JI: 0.8432, Recall: 0.9629
AMself_output/eval_dump/AMself_2_3/epoch-59.humanAP: 0.9208, MR: 0.4251, JI: 0.8449, Recall: 0.9628

AMself_output/eval_dump/DETR_Baseline/epoch-45.humanAP: 0.9067, MR: 0.4540, JI: 0.8264, Recall: 0.9580
AMself_output/eval_dump/DETR_Baseline/epoch-46.humanAP: 0.9065, MR: 0.4492, JI: 0.8273, Recall: 0.9568
AMself_output/eval_dump/DETR_Baseline/epoch-47.humanAP: 0.9075, MR: 0.4529, JI: 0.8280, Recall: 0.9582
AMself_output/eval_dump/DETR_Baseline/epoch-48.humanAP: 0.9077, MR: 0.4515, JI: 0.8281, Recall: 0.9596
AMself_output/eval_dump/DETR_Baseline/epoch-49.humanAP: 0.9097, MR: 0.4459, JI: 0.8308, Recall: 0.9602
AMself_output/eval_dump/DETR_Baseline/epoch-50.humanAP: 0.9088, MR: 0.4482, JI: 0.8300, Recall: 0.9593
